Date,Open,Close,High,Low,Volume,code,Adj Close
2017-11-14,10.001,10.157,10.215,9.895,841820.0,600048,10.157
2017-11-15,10.089,10.399,10.419,10.05,1008703.0,600048,10.399
2017-11-16,10.409,11.099,11.108,10.38,2553547.0,600048,11.099
2017-11-17,11.099,11.39,11.409,11.001,2582598.0,600048,11.39
2017-11-20,11.293,11.4,11.409,11.021,1262328.0,600048,11.4
2017-11-21,11.351,11.671,12.05,11.332,2431309.0,600048,11.671
2017-11-22,11.846,11.701,12.021,11.603,2145445.0,600048,11.701
2017-11-23,11.691,11.516,12.011,11.312,1550918.0,600048,11.516
2017-11-24,11.458,11.594,11.739,11.361,1003703.0,600048,11.594
2017-11-27,11.594,11.613,11.972,11.322,1306555.0,600048,11.613
2017-11-28,11.603,11.341,11.603,11.089,926541.0,600048,11.341
2017-11-29,11.458,12.477,12.477,11.341,2477452.0,600048,12.477
2017-11-30,12.623,12.235,12.71,11.914,2357140.0,600048,12.235
2017-12-01,12.235,12.38,12.866,12.138,2001432.0,600048,12.38
2017-12-04,12.332,12.448,12.477,11.972,1238807.0,600048,12.448
2017-12-05,12.332,12.429,12.788,12.176,2285226.0,600048,12.429
2017-12-06,12.312,12.332,12.672,12.147,1230003.0,600048,12.332
2017-12-07,12.361,12.468,12.963,12.351,1566829.0,600048,12.468
2017-12-08,12.332,12.371,12.38,11.934,1448303.0,600048,12.371
2017-12-11,12.283,12.536,12.545,12.079,1061582.0,600048,12.536
2017-12-12,12.458,12.196,12.662,12.167,954301.0,600048,12.196
2017-12-13,12.225,12.225,12.273,11.992,771350.0,600048,12.225
2017-12-14,12.196,12.303,12.604,12.099,1011920.0,600048,12.303
2017-12-15,12.147,11.798,12.283,11.71,1164531.0,600048,11.798
2017-12-18,11.807,11.778,12.002,11.536,842467.0,600048,11.778
2017-12-19,11.827,12.021,12.04,11.71,697373.0,600048,12.021
2017-12-20,11.885,11.739,11.953,11.545,1064991.0,600048,11.739
2017-12-21,11.778,12.652,12.856,11.769,1967975.0,600048,12.652
2017-12-22,12.623,12.701,12.778,12.565,990558.0,600048,12.701
2017-12-25,12.943,13.157,13.536,12.943,1868339.0,600048,13.157
2017-12-26,13.235,13.448,13.468,13.06,1152057.0,600048,13.448
2017-12-27,13.303,13.254,13.545,13.07,1073453.0,600048,13.254
2017-12-28,13.206,13.312,13.429,12.934,925361.0,600048,13.312
2017-12-29,13.274,13.74,13.905,13.215,1266858.0,600048,13.74
2018-01-02,13.885,14.196,14.643,13.885,1838890.0,600048,14.196
2018-01-03,14.293,14.021,14.711,13.924,1907440.0,600048,14.021
2018-01-04,14.148,14.089,14.41,13.973,1467574.0,600048,14.089
2018-01-05,14.128,14.847,15.487,14.031,2617996.0,600048,14.847
2018-01-08,15.264,15.167,15.827,15.012,2782186.0,600048,15.167
2018-01-09,15.002,15.245,15.497,14.992,1462556.0,600048,15.245
2018-01-10,15.245,15.4,15.789,15.148,1432952.0,600048,15.4
2018-01-11,15.284,15.322,15.487,14.895,1181745.0,600048,15.322
2018-01-12,15.225,15.245,15.866,15.119,1394105.0,600048,15.245
2018-01-15,15.711,16.119,16.381,15.536,2574305.0,600048,16.119
2018-01-16,15.973,17.167,17.468,15.866,3224719.0,600048,17.167
2018-01-17,16.895,17.41,17.682,16.546,2751892.0,600048,17.41
2018-01-18,17.381,17.061,17.565,16.818,1882338.0,600048,17.061
2018-01-19,17.187,16.789,17.478,16.604,1959306.0,600048,16.789
2018-01-22,16.769,17.022,17.206,16.662,1462843.0,600048,17.022
2018-01-23,17.138,17.235,17.818,17.138,2586248.0,600048,17.235
2018-01-24,17.264,17.323,17.866,17.187,1929381.0,600048,17.323
2018-01-25,17.255,16.604,17.294,16.216,2459242.0,600048,16.604
2018-01-26,16.604,16.692,17.051,16.42,1624390.0,600048,16.692
2018-01-29,16.827,16.488,16.973,16.196,1711330.0,600048,16.488
2018-01-30,16.468,16.041,16.633,15.886,1621626.0,600048,16.041
2018-01-31,16.128,16.73,16.789,16.012,1999987.0,600048,16.73
2018-02-01,16.847,17.07,17.332,16.682,2247726.0,600048,17.07
2018-02-02,16.798,17.886,17.944,16.507,2124072.0,600048,17.886
2018-02-05,17.672,18.148,18.197,17.429,1899819.0,600048,18.148
2018-02-06,17.672,17.507,17.74,16.895,2300497.0,600048,17.507
2018-02-07,17.818,15.866,17.925,15.759,3102236.0,600048,15.866
2018-02-08,15.565,15.216,15.847,14.759,2344830.0,600048,15.216
2018-02-09,14.623,13.779,14.924,13.691,3260390.0,600048,13.779
2018-02-12,13.788,14.08,14.138,13.487,1995139.0,600048,14.08
2018-02-13,14.332,14.672,15.196,14.235,1877978.0,600048,14.672
2018-02-14,14.662,14.759,14.905,14.313,809861.0,600048,14.759
2018-02-22,15.051,14.983,15.332,14.827,1048358.0,600048,14.983
2018-02-23,15.031,15.186,15.449,14.876,1062567.0,600048,15.186
2018-02-26,15.216,14.652,15.332,13.982,2023755.0,600048,14.652
2018-02-27,14.546,14.089,14.565,13.905,1868183.0,600048,14.089
2018-02-28,13.847,14.206,14.419,13.643,1449395.0,600048,14.206
2018-03-01,14.002,14.274,14.623,13.963,1355075.0,600048,14.274
2018-03-02,14.06,14.371,14.555,13.885,1166831.0,600048,14.371
